DoctorID,FirstName,LastName,Specialization,ContactNumber,Salary
D101,Alice,Wonder,Cardiology,555-1001,"$120,000 "
D102,Bob,Builder,Pediatrics,555-1002,"$85,000 "
D103,Carol,Dreamer,Neurology,555-1003,"$135,000 "
D104,David,Explorer,Orthopedics,555-1004,"$110,000 "
D105,Eve,Genius,Dermatology,555-1005,"$95,000 "
D106,Frank,Great,Internal Medicine,555-1006,"$115,000 "
D107,Grace,Hope,Psychiatry,555-1007,"$105,000 "
D108,Henry,Insight,Cardiology,555-1008,"$125,000 "
D109,Ivy,Magic,Pediatrics,555-1009,"$80,000 "
D110,Jack,Key,Neurology,555-1010,"$130,000 "
D101,Alice,Wonder,Cardiology,555-1011,"$122,000 "
D102,Bob,Builder,Pediatrics,555-1012,"$88,000 "
D103,Carol,Dreamer,Neurology,555-1013,"$138,000 "
D104,David,Explorer,Orthopedics,555-1014,"$112,000 "
D105,Eve,Genius,Dermatology,555-1015,"$98,000 "
D106,Frank,Great,Internal Medicine,555-1016,"$118,000 "
D107,Grace,Hope,Psychiatry,555-1017,"$108,000 "
D108,Henry,Insight,Cardiology,555-1018,"$128,000 "
D109,Ivy,Magic,Pediatrics,555-1019,"$82,000 "
D111,Kevin,King,Surgery,555-1020,"$140,000 "
